search_term,product_name,registration_number,manufacturer,category,pack_size,price,price_text,effective_from,scraped_at,source
Amoxicillin,Amoxicillin 125mg Dry Suspension Each 5ml contains:Amoxicillin (as Trihydrate)…125mg,050602,Medimarker's Laboratories DML: 000615,Essential Drugs,60ml,91.49,Rs 91.49,"27 Jul, 2026",2026-09-12 02:27:38,https://e.dra.gov.pk/public/price
Amoxicillin,Amoxicillin 125mg/5ml Suspension Amoxicillin as Trihydrate: 125 %;,136722,ANEEB PHARMACEUTICAL PVT LIMITED DML: 000555,Essential Drugs,60ml,79.0,Rs 79.00,"10 Aug, 2026",2026-09-12 02:27:38,https://e.dra.gov.pk/public/price
Amoxicillin,Amoxicillin 250mg Capsule Each capsule contains:Amoxicillin (as Trihydrate)…250mg,050604,Medimarker's Laboratories DML: 000615,Essential Drugs,100's,1129.16,"Rs 1,129.16","27 Jul, 2026",2026-09-12 02:27:38,https://e.dra.gov.pk/public/price
Amoxicillin,Amoxicillin 250mg Dry Suspension Each 5ml contains:Amoxicillin (as Trihydrate)…250mg,050603,Medimarker's Laboratories DML: 000615,Essential Drugs,60ml,134.34,Rs 134.34,"27 Jul, 2026",2026-09-12 02:27:38,https://e.dra.gov.pk/public/price
Amoxicillin,Amoxicillin 500mg Capsule Each capsule contains:Amoxicillin (as Trihydrate)…500mg,050605,Medimarker's Laboratories DML: 000615,Essential Drugs,100's,1995.43,"Rs 1,995.43","27 Jul, 2026",2026-09-12 02:27:38,https://e.dra.gov.pk/public/price
Amoxicillin,Amoxicillin 500mg Capsules Amoxicillin as Trihydrate: 500 mg;,136724,ANEEB PHARMACEUTICAL PVT LIMITED DML: 000555,Essential Drugs,10x10's,1723.0,"Rs 1,723.00","10 Aug, 2026",2026-09-12 02:27:38,https://e.dra.gov.pk/public/price
Azithromycin,Azitron Tablets (Azithromycin as Dihydrate) 250mg Each film-coated tablet contains Azithromycin as Dihydrate equivalent to Azithromycin 250mg,054512,The Searle Company Limited DML: 000647,Essential Drugs,6's,324.33,Rs 324.33,"23 Jul, 2026",2026-09-12 02:27:44,https://e.dra.gov.pk/public/price
Azithromycin,Zithrosan 1% Eye Drops SolutionEach ml contains:Azithromycin as Dihydrate…...10mg Zithrosan 1% Eye Drops SolutionEach ml contains:Azithromycin as Dihydrate…...10mg,104067,Sante (Private) Limited DML: 000702,Essential Drugs,2.5ml,199.6,Rs 199.60,"27 Jul, 2026",2026-09-12 02:27:44,https://e.dra.gov.pk/public/price
Azithromycin,Zithrosan 250mg CapsuleEach capsule contains:Azithromycin DihydrateEquivalent to Azithromycin 250mg Zithrosan 250mg CapsuleEach capsule contains:Azithromycin DihydrateEquivalent to Azithromycin 250mg,027079,Sante (Private) Limited DML: 000702,Essential Drugs,10's,582.11,Rs 582.11,"27 Jul, 2026",2026-09-12 02:27:44,https://e.dra.gov.pk/public/price
Azithromycin,Zithrosan 500mg CapsulesEach capsule contains:Azithromycin (as Azithromycin Dihydrate) 500mg Zithrosan 500mg CapsulesEach capsule contains:Azithromycin (as Azithromycin Dihydrate) 500mg,037032,Sante (Private) Limited DML: 000702,Essential Drugs,6's,575.81,Rs 575.81,"27 Jul, 2026",2026-09-12 02:27:44,https://e.dra.gov.pk/public/price
Azithromycin,Zithrosan 500mg TabletEach tablet contains:Azithromycin……………500mg Zithrosan 500mg TabletEach tablet contains:Azithromycin……………500mg,083766,Sante (Private) Limited DML: 000702,Essential Drugs,6's,599.24,Rs 599.24,"27 Jul, 2026",2026-09-12 02:27:44,https://e.dra.gov.pk/public/price
Azithromycin,Zolecta 250 mg Capsules Azithromycin (as Dihydrate) …. 250mg Zolecta 250 mg Capsules Azithromycin (as Dihydrate) …. 250mg,055700,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,Essential Drugs,10's,533.88,Rs 533.88,"20 Aug, 2026",2026-09-12 02:27:44,https://e.dra.gov.pk/public/price
Azithromycin,Zolecta 500 mg Capsules Azithromycin (as Dihydrate) . 500mg Zolecta 500 mg Capsules Azithromycin (as Dihydrate) . 500mg,055701,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,Essential Drugs,3's,261.7,Rs 261.70,"20 Aug, 2026",2026-09-12 02:27:44,https://e.dra.gov.pk/public/price
Azithromycin,Zolecta 500 mg Tablet Azithromycin Zolecta 500 mg Tablet Azithromycin,092812,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,Essential Drugs,6's,545.09,Rs 545.09,"20 Aug, 2026",2026-09-12 02:27:44,https://e.dra.gov.pk/public/price
Ciprofloxacin,Bakcin Ophthalmic SolutionEach ml contains:Ciprofloxacin (as Ciprofloxacin HCl)…3mg Bakcin Ophthalmic SolutionEach ml contains:Ciprofloxacin (as Ciprofloxacin HCl)…3mg,030361,Sante (Private) Limited DML: 000702,Essential Drugs,5ml,219.94,Rs 219.94,"27 Jul, 2026",2026-09-12 02:27:51,https://e.dra.gov.pk/public/price
Ciprofloxacin,C-Prox dry suspension 250mg/5mlCiprofloxacin Each 5 ml Contains: Ciprofloxacin 250 mg .,061942,Mediate Pharmaceutical Pvt Ltd DML: 000167,Essential Drugs,60ml,281.55,Rs 281.55,"27 Jan, 2026",2026-09-12 02:27:51,https://e.dra.gov.pk/public/price
Ciprofloxacin,Cinoflox 100mg / 50ml Infusion Ciprofloxacin …... 100mg (as Lactate) Cinoflox 100mg / 50ml Infusion Ciprofloxacin …... 100mg (as Lactate),058540,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,Essential Drugs,Vial,123.91,Rs 123.91,"20 Aug, 2026",2026-09-12 02:27:51,https://e.dra.gov.pk/public/price
Ciprofloxacin,Cinoflox 200mg / 100ml Infusion Ciprofloxacin.. 200mg (as Lactate) Cinoflox 200mg / 100ml Infusion Ciprofloxacin.. 200mg (as Lactate),058541,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,Essential Drugs,Vial,247.81,Rs 247.81,"20 Aug, 2026",2026-09-12 02:27:51,https://e.dra.gov.pk/public/price
Ciprofloxacin,Cinoflox 400mg / 100ml Infusion Ciprofloxacin…... 400mg (as Lactate) Cinoflox 400mg / 100ml Infusion Ciprofloxacin…... 400mg (as Lactate),076041,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,Essential Drugs,Vial,351.9,Rs 351.90,"20 Aug, 2026",2026-09-12 02:27:51,https://e.dra.gov.pk/public/price
Ciprofloxacin,Cinoflox Injection 400mg / 200ml Ciprofloxacin …….. 400mg (as Lactate) Cinoflox Injection 400mg / 200ml Ciprofloxacin …….. 400mg (as Lactate),089238,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,Essential Drugs,Vial,335.07,Rs 335.07,"20 Aug, 2026",2026-09-12 02:27:51,https://e.dra.gov.pk/public/price
Ciprofloxacin,Ciprofloxacin 250mg tablets Each tablet contains:- Ciprofloxacin as HCL….250mg,057488,Batala Pharmaceuticals DML: 000477,Essential Drugs,1x10's,228.77,Rs 228.77,"01 Jul, 2025",2026-09-12 02:27:51,https://e.dra.gov.pk/public/price
