medicine_id,brand_name,generic_name,active_ingredient,strength,dosage_form,pack_size,manufacturer,price,price_effective_date,registration_number,drap_source_url,last_verified,data_status,medicine_category
MED001,Amoxicillin,Amoxicillin,Amoxicillin,125mg,Suspension,60ml,Medimarker's Laboratories DML: 000615,91.49,"27 Jul, 2026",50602,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED002,Amoxicillin,Amoxicillin,Amoxicillin,125mg/5ml,Suspension,60ml,ANEEB PHARMACEUTICAL PVT LIMITED DML: 000555,79.0,"10 Aug, 2026",136722,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED003,Amoxicillin,Amoxicillin,Amoxicillin,250mg,Capsule,100's,Medimarker's Laboratories DML: 000615,1129.16,"27 Jul, 2026",50604,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED004,Amoxicillin,Amoxicillin,Amoxicillin,250mg,Suspension,60ml,Medimarker's Laboratories DML: 000615,134.34,"27 Jul, 2026",50603,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED005,Amoxicillin,Amoxicillin,Amoxicillin,500mg,Capsule,100's,Medimarker's Laboratories DML: 000615,1995.43,"27 Jul, 2026",50605,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED006,Amoxicillin,Amoxicillin,Amoxicillin,500mg,Capsule,10x10's,ANEEB PHARMACEUTICAL PVT LIMITED DML: 000555,1723.0,"10 Aug, 2026",136724,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED007,Zithrosan 1% Eye Drops Solution,Azithromycin,Azithromycin,10mg,Other,2.5ml,Sante (Private) Limited DML: 000702,199.6,"27 Jul, 2026",104067,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED008,Azitron,Azithromycin,Azithromycin,250mg,Tablet,6's,The Searle Company Limited DML: 000647,324.33,"23 Jul, 2026",54512,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED009,Zithrosan,Azithromycin,Azithromycin,250mg,Capsule,10's,Sante (Private) Limited DML: 000702,582.11,"27 Jul, 2026",27079,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED010,Zolecta,Azithromycin,Azithromycin,250mg,Capsule,10's,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,533.88,"20 Aug, 2026",55700,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED011,Zithrosan,Azithromycin,Azithromycin,500mg,Capsule,6's,Sante (Private) Limited DML: 000702,575.81,"27 Jul, 2026",37032,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED012,Zithrosan,Azithromycin,Azithromycin,500mg,Tablet,6's,Sante (Private) Limited DML: 000702,599.24,"27 Jul, 2026",83766,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED013,Zolecta,Azithromycin,Azithromycin,500mg,Capsule,3's,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,261.7,"20 Aug, 2026",55701,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED014,Zolecta,Azithromycin,Azithromycin,500mg,Tablet,6's,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,545.09,"20 Aug, 2026",92812,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED015,Omixim,Cefixime,Cefixime,100mg,Suspension,30ml,The Searle Company Limited DML: 000647,330.38,"23 Jul, 2026",62443,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED016,Stork,Cefixime,Cefixime,100mg/5ml,Suspension,30ml,UniMark Pharmaceuticals Pvt. Ltd. DML: 000557,330.39,"20 Aug, 2026",121416,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED017,Omixim,Cefixime,Cefixime,200mg,Capsule,10's,The Searle Company Limited DML: 000647,646.45,"23 Jul, 2026",62442,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED018,Omixim,Cefixime,Cefixime,400mg,Capsule,5's,The Searle Company Limited DML: 000647,592.03,"23 Jul, 2026",62441,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED019,Tefno Injection,Ceftriaxone,Ceftriaxone,1g,Injection,1's,The Searle Company Limited DML: 000647,662.97,"23 Jul, 2026",90325,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED020,Tefno Injection,Ceftriaxone,Ceftriaxone,1g,Injection,1's,The Searle Company Limited DML: 000647,662.97,"23 Jul, 2026",62438,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED021,Tefno Injection,Ceftriaxone,Ceftriaxone,250mg,Injection,1's,The Searle Company Limited DML: 000647,208.6,"23 Jul, 2026",90323,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED022,Tefno Injection,Ceftriaxone,Ceftriaxone,250mg,Injection,1's,The Searle Company Limited DML: 000647,208.6,"23 Jul, 2026",62440,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED023,Ceftriaxone (as Sodium),Ceftriaxone,Ceftriaxone,500mg,Injection,1's,Pharma Lord (Pvt) Ltd DML: 000774,346.15,"27 Jul, 2026",86387,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED024,Tefno Injection,Ceftriaxone,Ceftriaxone,500mg,Injection,1's,The Searle Company Limited DML: 000647,351.11,"23 Jul, 2026",90324,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED025,Tefno Injection,Ceftriaxone,Ceftriaxone,500mg,Injection,1's,The Searle Company Limited DML: 000647,351.11,"23 Jul, 2026",62439,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED026,Prolotic Otic Drops,Ciprofloxacin,Ciprofloxacin,,Other,5ml,Sante (Private) Limited DML: 000702,196.21,"27 Jul, 2026",73452,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED027,Cinoflox,Ciprofloxacin,Ciprofloxacin,100mg,Other,Vial,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,123.91,"20 Aug, 2026",58540,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED028,Cinoflox,Ciprofloxacin,Ciprofloxacin,200mg,Other,Vial,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,247.81,"20 Aug, 2026",58541,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED029,Ciprofloxacin,Ciprofloxacin,Ciprofloxacin,250mg,Tablet,1x10's,Batala Pharmaceuticals DML: 000477,228.77,"01 Jul, 2025",57488,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED030,Zeproquin,Ciprofloxacin,Ciprofloxacin,250mg,Tablet,10's,Sante (Private) Limited DML: 000702,268.48,"27 Jul, 2026",76126,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED031,C-Prox dry,Ciprofloxacin,Ciprofloxacin,250mg/5ml,Suspension,60ml,Mediate Pharmaceutical Pvt Ltd DML: 000167,281.55,"27 Jan, 2026",61942,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED032,Bakcin Ophthalmic Solution,Ciprofloxacin,Ciprofloxacin,3mg,Other,5ml,Sante (Private) Limited DML: 000702,219.94,"27 Jul, 2026",30361,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED033,Cinoflox,Ciprofloxacin,Ciprofloxacin,400mg,Other,Vial,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,351.9,"20 Aug, 2026",76041,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED034,Cinoflox Injection,Ciprofloxacin,Ciprofloxacin,400mg,Injection,Vial,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,335.07,"20 Aug, 2026",89238,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED035,Ciprofloxacin,Ciprofloxacin,Ciprofloxacin,500mg,Tablet,1x10's,Batala Pharmaceuticals DML: 000477,378.35,"01 Jul, 2025",57489,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
