medicine_id,brand_name,generic_name,active_ingredient,strength,dosage_form,pack_size,manufacturer,price,price_effective_date,registration_number,drap_source_url,last_verified,data_status,medicine_category
MED001,Amikacin Injection (Amikacin Sulphate • Amikacin,Amikacin,Amikacin,100mg,Injection,1's,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000513,61.96,"27 Jul, 2026",31283,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED002,GRASIL,Amikacin,Amikacin,100mg,Injection,2 ml,SAMI Pharmaceuticals Pvt. Ltd. DML: 000072,169.15,"23 Jul, 2026",19704,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED003,Amikacin Injection (Amikacin Sulphate • Amikacin,Amikacin,Amikacin,1g,Injection,1's,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000513,413.07,"27 Jul, 2026",31286,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED004,Amikacin Injection (Amikacin Sulphate • Amikacin,Amikacin,Amikacin,250mg,Injection,1's,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000513,117.29,"27 Jul, 2026",31284,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED005,GRASIL,Amikacin,Amikacin,250mg,Injection,2 ml,SAMI Pharmaceuticals Pvt. Ltd. DML: 000072,341.19,"23 Jul, 2026",13530,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED006,GRASIL,Amikacin,Amikacin,25mg,Injection,1 ml,SAMI Pharmaceuticals Pvt. Ltd. DML: 000072,46.18,"23 Jul, 2026",47143,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED007,Amikacin Injection (Amikacin Sulphate • Amikacin,Amikacin,Amikacin,500mg,Injection,1's,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000513,227.19,"27 Jul, 2026",31285,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED008,GRASIL,Amikacin,Amikacin,500mg,Injection,2 ml,SAMI Pharmaceuticals Pvt. Ltd. DML: 000072,483.16,"23 Jul, 2026",14251,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED009,GRASIL,Amikacin,Amikacin,50mg,Injection,1 ml,SAMI Pharmaceuticals Pvt. Ltd. DML: 000072,57.64,"23 Jul, 2026",47144,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED010,Amoxicillin,Amoxicillin,Amoxicillin,125mg,Suspension,60ml,Medimarker's Laboratories DML: 000615,91.49,"27 Jul, 2026",50602,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED011,Amoxicillin,Amoxicillin,Amoxicillin,125mg,Suspension,60ml,Medimarker's Laboratories DML: 000615,91.49,"27 Jul, 2026",50602,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED012,Amoxicillin,Amoxicillin,Amoxicillin,125mg/5ml,Suspension,60ml,ANEEB PHARMACEUTICAL PVT LIMITED DML: 000555,79.0,"10 Aug, 2026",136722,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED013,Amoxicillin,Amoxicillin,Amoxicillin,125mg/5ml,Suspension,60ml,ANEEB PHARMACEUTICAL PVT LIMITED DML: 000555,79.0,"10 Aug, 2026",136722,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED014,Amoxicillin,Amoxicillin,Amoxicillin,250mg,Capsule,100's,Medimarker's Laboratories DML: 000615,1129.16,"27 Jul, 2026",50604,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED015,Amoxicillin,Amoxicillin,Amoxicillin,250mg,Suspension,60ml,Medimarker's Laboratories DML: 000615,134.34,"27 Jul, 2026",50603,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED016,Amoxicillin,Amoxicillin,Amoxicillin,250mg,Capsule,100's,Medimarker's Laboratories DML: 000615,1129.16,"27 Jul, 2026",50604,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED017,Amoxicillin,Amoxicillin,Amoxicillin,250mg,Suspension,60ml,Medimarker's Laboratories DML: 000615,134.34,"27 Jul, 2026",50603,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED018,Amoxicillin,Amoxicillin,Amoxicillin,500mg,Capsule,100's,Medimarker's Laboratories DML: 000615,1995.43,"27 Jul, 2026",50605,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED019,Amoxicillin,Amoxicillin,Amoxicillin,500mg,Capsule,10x10's,ANEEB PHARMACEUTICAL PVT LIMITED DML: 000555,1723.0,"10 Aug, 2026",136724,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED020,Amoxicillin,Amoxicillin,Amoxicillin,500mg,Capsule,100's,Medimarker's Laboratories DML: 000615,1995.43,"27 Jul, 2026",50605,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED021,Amoxicillin,Amoxicillin,Amoxicillin,500mg,Capsule,10x10's,ANEEB PHARMACEUTICAL PVT LIMITED DML: 000555,1723.0,"10 Aug, 2026",136724,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED022,Aspirin,Aspirin,Aspirin,,Tablet,1000's,Xenon Pharmaceuticals (Pvt.) Ltd DML: 000077,125.46,"30 Jun, 2026",11711,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Non-antibiotic
MED023,Aspirin,Aspirin,Aspirin,300mg,Tablet,1000's,AMROS PHARMACEUTICALS DML: 000406,446.86,"17 Aug, 2026",19395,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Non-antibiotic
MED024,Zetro,Azithromycin,Azithromycin,100mg/5mL,Suspension,30mL,Getz Pharma (Pvt) Limited DML: 000284,205.29,"27 Jul, 2026",45374,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED025,Zithrosan 1% Eye Drops Solution,Azithromycin,Azithromycin,10mg,Other,2.5ml,Sante (Private) Limited DML: 000702,199.6,"27 Jul, 2026",104067,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED026,Zithrosan 1% Eye Drops Solution,Azithromycin,Azithromycin,10mg,Other,2.5ml,Sante (Private) Limited DML: 000702,199.6,"27 Jul, 2026",104067,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED027,Azeloc Dry Susp.,Azithromycin,Azithromycin,200mg,Other,15ml,Evolution Pharmaceuticals (Pvt.) Ltd. DML: 000867,329.12,"29 Jul, 2026",90055,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED028,Lazio Dry Powder,Azithromycin,Azithromycin,200mg/5ml,Suspension,15 ml,The Schazoo Pharmaceutical Laboratories (Pvt.) Ltd. DML: 000019,329.1,"23 Jul, 2026",65832,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED029,Zetro Suspesnion,Azithromycin,Azithromycin,200mg/5ml,Other,15ml,Getz Pharma (Pvt.) Ltd. DML: 000933,345.5,"27 Jul, 2026",47145,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED030,Zetro Suspesnion,Azithromycin,Azithromycin,200mg/5ml,Other,25ml,Getz Pharma (Pvt.) Ltd. DML: 000933,543.61,"27 Jul, 2026",47145,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED031,Zetro Suspesnion,Azithromycin,Azithromycin,200mg/5ml,Other,30ml,Getz Pharma (Pvt.) Ltd. DML: 000933,640.69,"27 Jul, 2026",47145,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED032,Azitron,Azithromycin,Azithromycin,250mg,Tablet,6's,The Searle Company Limited DML: 000647,324.33,"23 Jul, 2026",54512,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED033,Zithrosan,Azithromycin,Azithromycin,250mg,Capsule,10's,Sante (Private) Limited DML: 000702,582.11,"27 Jul, 2026",27079,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED034,Zolecta,Azithromycin,Azithromycin,250mg,Capsule,10's,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,533.88,"20 Aug, 2026",55700,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
