medicine_id,brand_name,generic_name,active_ingredient,strength,dosage_form,pack_size,manufacturer,price,price_effective_date,registration_number,drap_source_url,last_verified,data_status,medicine_category
MED001,GRASIL,Amikacin,Amikacin,100mg,Injection,2 ml,SAMI Pharmaceuticals Pvt. Ltd. DML: 000072,169.15,"23 Jul, 2026",19704,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED002,GRASIL,Amikacin,Amikacin,250mg,Injection,2 ml,SAMI Pharmaceuticals Pvt. Ltd. DML: 000072,341.19,"23 Jul, 2026",13530,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED003,GRASIL,Amikacin,Amikacin,25mg,Injection,1 ml,SAMI Pharmaceuticals Pvt. Ltd. DML: 000072,46.18,"23 Jul, 2026",47143,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED004,GRASIL,Amikacin,Amikacin,500mg,Injection,2 ml,SAMI Pharmaceuticals Pvt. Ltd. DML: 000072,483.16,"23 Jul, 2026",14251,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED005,GRASIL,Amikacin,Amikacin,50mg,Injection,1 ml,SAMI Pharmaceuticals Pvt. Ltd. DML: 000072,57.64,"23 Jul, 2026",47144,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED006,Zithrosan 1% Eye Drops Solution,Azithromycin,Azithromycin,10mg,Other,2.5ml,Sante (Private) Limited DML: 000702,199.6,"27 Jul, 2026",104067,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED007,Azeloc Dry Susp,Azithromycin,Azithromycin,200mg,Other,15ml,Evolution Pharmaceuticals (Pvt.) Ltd. DML: 000867,329.12,"29 Jul, 2026",90055,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED008,Zetro,Azithromycin,Azithromycin,250mg,Tablet,6's,Getz Pharma (Pvt) Limited DML: 000284,225.1,"27 Jul, 2026",66913,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED009,Azeloc,Azithromycin,Azithromycin,250mg,Tablet,1 x 6's,Evolution Pharmaceuticals (Pvt.) Ltd. DML: 000867,291.22,"29 Jul, 2026",95366,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED010,Azeloc,Azithromycin,Azithromycin,250mg,Capsule,6's,Evolution Pharmaceuticals (Pvt.) Ltd. DML: 000867,305.19,"29 Jul, 2026",87682,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
